Date,Open,High,Low,Close,Volume
Aug182021,44686.75,45952.06,44364.03,44801.19,32194123075
Aug172021,45936.46,47139.57,44512.42,44695.36,33451362600
Aug162021,47019.96,47998.1,45700.32,46004.48,32776876610
Aug152021,47096.67,47357.11,45579.59,47047,30988958446
Aug142021,47810.69,48098.68,46177.63,47096.95,31211354442
Aug132021,44439.69,47831.98,44282.42,47793.32,31744259539
Aug122021,45576.88,46228.91,43861.45,44428.29,33723620826
Aug112021,45599.7,46735.63,45351.71,45593.64,34319709073
Aug102021,46280.85,46637.99,44705.55,45585.03,33546019517
Aug92021,43791.93,46456.83,42848.69,46365.4,38734079049
Aug82021,44574.44,45282.35,43331.91,43798.12,36302664750
Aug72021,42832.8,44689.86,42618.57,44555.8,40030862141
Aug62021,40865.87,43271.66,39932.18,42816.5,38226483046
Aug52021,39744.52,41341.93,37458,40869.55,35185031017
Aug42021,38213.33,39952.3,37589.16,39747.5,25372562724
Aug32021,39178.4,39750.03,37782.05,38152.98,26189830450
Aug22021,39907.26,40419.18,38746.35,39201.95,25595265436
Aug12021,41460.84,42541.68,39540.94,39974.89,26688438115
Jul312021,42196.3,42231.45,41110.83,41626.2,25802845343
Jul302021,40027.48,42235.55,38397.36,42235.55,33072782960
Jul292021,39995.45,40593.07,39352.06,40008.42,27167146027
Jul282021,39503.19,40816.07,38862.44,39995.91,38702404695
Jul272021,37276.04,39406.94,36441.73,39406.94,35097370560
Jul262021,35384.03,40499.68,35287.31,37337.54,51022126212
Jul252021,34290.29,35364.93,33881.84,35350.19,20856685287
Jul242021,33593.73,34490.39,33424.86,34292.45,21664706865
Jul232021,32305.96,33581.55,32057.89,33581.55,22552046192
Jul222021,32138.87,32576.4,31745.3,32313.11,19555230518
Jul212021,29796.29,32752.33,29526.18,32110.69,28203024559
Jul202021,30838.29,31006.19,29360.96,29807.35,23148267245
Jul192021,31800.01,31885.86,30563.73,30817.83,20434789545
Jul182021,31533.88,32399,31215.49,31796.81,18787986667
Jul172021,31397.31,31935.95,31223.99,31533.07,18895018942
Jul162021,31841.55,32218.41,31100.67,31421.54,23699476918
Jul152021,32827.88,33159.64,31175.71,31780.73,21300524237
Jul142021,32723.85,33061.4,31639.13,32822.35,21376531210
Jul132021,33125.47,33327.1,32261.42,32702.03,19120856669
Jul122021,34254.02,34592.16,32697.31,33155.85,24321499537
Jul112021,33509.08,34584.7,33346.74,34240.19,20108729370
Jul102021,33811.24,34209.07,33116.01,33520.52,22971873468
Jul92021,32861.67,34042.29,32318.88,33798.01,27436021028
Jul82021,33889.61,33907.91,32133.18,32877.37,29910396946
Jul72021,34225.68,34997.66,33839.29,33855.33,24796027477
Jul62021,33723.51,35038.54,33599.92,34235.2,26501259870
Jul52021,35284.34,35284.34,33213.66,33746,26721554282
Jul42021,34665.57,35937.57,34396.48,35287.78,24924307911
Jul32021,33854.42,34909.26,33402.7,34668.55,24383958643
Jul22021,33549.6,33939.59,32770.68,33897.05,38728974942
Jul12021,35035.98,35035.98,32883.78,33572.12,37838957079
Jun302021,35908.39,36074.76,34086.15,35040.84,34059036099
Jun292021,34475.56,36542.11,34252.48,35867.78,37901460044
Jun282021,34679.12,35219.89,33902.07,34434.34,33892523752
Jun272021,32287.52,34656.13,32071.76,34649.64,35511640894
Jun262021,31594.66,32637.59,30184.5,32186.28,38585385521
Jun252021,34659.11,35487.25,31350.88,31637.78,40230904226
Jun242021,33682.8,35228.85,32385.21,34662.44,33123368116
Jun232021,32515.71,34753.41,31772.63,33723.03,46317108925
Jun222021,31622.38,33292.45,28893.62,32505.66,58964353058
Jun212021,35641.14,35721.64,31295.94,31676.69,52809038594
Jun202021,35563.14,36059.48,33432.07,35698.3,36664034054
Jun192021,35854.53,36457.8,34933.06,35615.87,31207279719
Jun182021,38099.48,38187.26,35255.86,35787.25,36200887275
Jun172021,38341.42,39513.67,37439.68,38053.5,37096670047
Jun162021,40168.69,40516.78,38176.04,38347.06,39211635100
Jun152021,40427.17,41295.27,39609.47,40406.27,46420149185
Jun142021,39016.97,40978.36,38757.29,40218.48,43148914673
Jun132021,35555.79,39322.78,34864.11,39097.86,40669112838
Jun122021,37340.14,37408.93,34728.19,35552.52,37924228550
Jun112021,36697.03,37608.7,36044.45,37334.4,38699736985
Jun102021,37389.52,38334.32,35847.59,36702.6,43576032854
Jun92021,33416.98,37537.37,32475.87,37345.12,53972919008
Jun82021,33589.52,34017.39,31114.44,33472.63,49902050442
Jun72021,35835.27,36790.57,33480.64,33560.71,33683936663
Jun62021,35538.61,36436.42,35304.58,35862.38,28913440585
Jun52021,36880.16,37917.71,34900.41,35551.96,35959473399
Jun42021,39242.48,39242.48,35717.72,36894.41,41831090187
Jun32021,37599.41,39478.95,37243.97,39208.77,35460750427
Jun22021,36699.92,38231.34,35966.31,37575.18,33070867190
Jun12021,37293.79,37896.73,35787.09,36684.93,34639423297
May312021,35658.59,37468.25,34241.95,37332.86,39009847639
May302021,34607.41,36400.67,33520.74,35678.13,31646080921
May292021,35684.16,37234.5,33693.93,34616.07,45231013335
May282021,38507.08,38856.97,34779.04,35697.61,55200191952
May272021,39316.89,40379.62,37247.9,38436.97,43210968721
May262021,38392.63,40782.08,37905.84,39294.2,51346735160
May252021,38795.78,39776.35,36581.43,38402.22,56211915803
May242021,34700.36,39835.14,34551.08,38705.98,67359584098
May232021,37531.45,38289.22,31227.34,34770.58,78469274361
May222021,37371.03,38831.05,35383.68,37536.63,57377273240
May212021,40596.95,42172.17,33616.45,37304.69,82051616861
May202021,36753.67,42462.98,35050.62,40782.74,88281943359
May192021,42944.98,43546.12,30681.5,37002.44,126358098747
May182021,43488.06,45812.46,42367.83,42909.4,56187365084
May172021,46415.9,46623.56,42207.29,43537.51,74903638450
May162021,46716.64,49720.04,43963.35,46456.06,64047871555
May152021,49855.5,50639.66,46664.14,46760.19,59161047474
May142021,49682.98,51438.12,48868.58,49880.54,55737497453
May132021,49735.43,51330.84,46980.02,49716.19,96721152926
May122021,56714.53,57939.36,49150.54,49150.54,75215403907
May112021,55847.24,56872.54,54608.65,56704.57,61308396325
May102021,58250.87,59519.36,54071.46,55859.8,71776546298
May92021,58877.39,59210.88,56482,58232.32,65906690347
May82021,57352.77,59464.61,56975.21,58803.78,65382980634
May72021,56413.95,58606.63,55321.85,57356.4,68434023376
May62021,57441.31,58363.32,55382.51,56396.52,69523285106
May52021,53252.16,57911.36,52969.05,57424.01,69241316747
May42021,57214.18,57214.18,53191.43,53333.54,68564706967
May32021,56620.27,58973.31,56590.87,57200.29,51713139031
May22021,57825.86,57902.59,56141.91,56631.08,38177405335
May12021,57714.66,58448.34,57052.27,57828.05,42836427360
Apr302021,53568.66,57900.72,53129.6,57750.18,52395931985
Apr292021,54858.09,55115.84,52418.03,53555.11,46088929780
Apr282021,55036.64,56227.21,53887.92,54824.7,48000572955
Apr272021,54030.3,55416.96,53319.19,55033.12,49448222757
Apr262021,49077.79,54288,48852.8,54021.75,58284039825
Apr252021,50052.83,50506.02,47159.48,49004.25,46117114240
Apr242021,51143.23,51167.56,48805.29,50050.87,49014494781
Apr232021,51739.81,52120.79,47714.66,51093.65,86668667320
Apr222021,53857.11,55410.23,50583.81,51762.27,74798630778
Apr212021,56471.13,56757.97,53695.47,53906.09,54926612466
Apr202021,55681.79,57062.15,53448.05,56473.03,67849323955
Apr192021,56191.59,57520.05,54368.59,55724.27,65344865159
Apr182021,60701.89,61057.46,52829.54,56216.18,97468872758
Apr172021,61529.92,62572.18,60361.35,60683.82,66138759198
Apr162021,63258.5,63594.72,60222.53,61572.79,84293007468
Apr152021,63075.2,63821.67,62208.96,63314.01,60954381579
Apr142021,63523.75,64863.1,61554.8,63109.7,77451779687
Apr132021,59890.02,63742.29,59869.96,63503.46,69983454362
Apr122021,60175.95,61253.04,59589.88,59893.45,51828688519
Apr112021,59846.23,60790.55,59289.8,60204.96,46280252580
Apr102021,58253.78,61276.66,58038.71,59793.23,58238470525
Apr92021,58326.56,58937.05,57807.86,58245,46655208546
Apr82021,56099.91,58338.74,55879.09,58323.95,53053855641
Apr72021,58186.51,58731.14,55604.02,56048.94,75645303584
Apr62021,59171.93,59479.58,57646.81,58192.36,66058027988
Apr52021,58760.88,59891.3,57694.82,59057.88,60706272115
Apr42021,57604.84,58913.75,57168.68,58758.55,50749662970
Apr32021,59397.41,60110.27,57603.89,57603.89,59641344484
Apr22021,59098.88,60267.19,58869.28,59384.31,58727860620
Apr12021,58926.56,59586.07,58505.28,59095.81,61669163792
Mar312021,58930.28,59930.03,57726.42,58918.83,65520826225
Mar302021,57750.13,59447.22,57251.55,58917.69,54414116432
Mar292021,55947.9,58342.1,55139.34,57750.2,57625587027
Mar282021,55974.94,56610.31,55071.11,55950.75,47686580918
Mar272021,55137.57,56568.21,54242.91,55973.51,47266542233
Mar262021,51683.01,55137.31,51579.86,55137.31,56652197978
Mar252021,52726.75,53392.39,50856.57,51704.16,67999812841
Mar242021,54710.49,57262.38,52514.33,52774.27,70567223787
Mar232021,54511.66,55985.44,53470.7,54738.95,56435023914
Mar222021,57517.89,58471.48,54288.16,54529.14,56521454974
Mar212021,58309.91,58767.9,56005.62,57523.42,51943414539
Mar202021,58332.26,60031.29,58213.3,58313.64,50361731222
Mar192021,57850.44,59498.38,56643.7,58346.65,49063873786
Mar182021,58893.08,60116.25,54253.58,57858.92,55746041000
Mar172021,56825.83,58969.82,54528.63,58870.89,60258313191
Mar162021,55840.79,56833.18,53555.03,56804.9,59749798599
Mar152021,59267.43,60540.99,55393.16,55907.2,66419369890
Mar142021,61221.13,61597.92,59302.32,59302.32,43901225564
Mar132021,57343.37,61683.86,56217.97,61243.09,60669829814
Mar122021,57821.22,57996.62,55376.65,57332.09,55689944702
Mar112021,55963.18,58091.06,54484.59,57805.12,56772343595
Mar102021,54824.01,57258.25,53290.89,56008.55,57295577614
Mar92021,52272.97,54824.12,51981.83,54824.12,50912227385
